penalty_team,season,penalty_type,penalty
KC,2018,Neutral Zone Infraction,4.0
KC,2018,Offensive Holding,25.0
KC,2018,Offensive Pass Interference,2.0
KC,2018,Roughing the Kicker,1.0
KC,2018,Roughing the Passer,3.0
KC,2018,Taunting,3.0
KC,2018,Unnecessary Roughness,5.0
KC,2018,Unsportsmanlike Conduct,4.0
KC,2019,Defensive Holding,18.0
KC,2019,Defensive Offside,4.0
KC,2019,Defensive Pass Interference,11.0
KC,2019,Defensive Too Many Men on Field,2.0
KC,2019,Delay of Game,1.0
KC,2019,Encroachment,2.0
KC,2019,Face Mask,5.0
KC,2019,False Start,12.0
KC,2019,Illegal Blindside Block,3.0
KC,2019,Illegal Block Above the Waist,7.0
KC,2019,Illegal Contact,1.0
KC,2019,Illegal Crackback,1.0
KC,2019,Illegal Double-Team Block,2.0
KC,2019,Illegal Formation,3.0
KC,2019,Illegal Shift,2.0
KC,2019,Illegal Use of Hands,5.0
KC,2019,Intentional Grounding,2.0
KC,2019,Lowering the Head to Initiate Contact,3.0
KC,2019,Neutral Zone Infraction,7.0
KC,2019,Offensive Holding,23.0
KC,2019,Offensive Pass Interference,4.0
KC,2019,Roughing the Passer,1.0
KC,2019,Taunting,1.0
KC,2019,Unnecessary Roughness,4.0
KC,2020,Defensive Holding,10.0
KC,2020,Defensive Offside,6.0
KC,2020,Defensive Pass Interference,17.0
KC,2020,Delay of Game,1.0
KC,2020,Face Mask,4.0
KC,2020,False Start,24.0
KC,2020,Illegal Block Above the Waist,2.0
KC,2020,Illegal Contact,1.0
KC,2020,Illegal Crackback,1.0
KC,2020,Illegal Double-Team Block,1.0
KC,2020,Illegal Motion,1.0
KC,2020,Illegal Shift,1.0
KC,2020,Illegal Touch Pass,1.0
KC,2020,Illegal Use of Hands,5.0
KC,2020,Ineligible Downfield Pass,1.0
KC,2020,Lowering the Head to Initiate Contact,1.0
KC,2020,Neutral Zone Infraction,2.0
KC,2020,Offensive Holding,26.0
KC,2020,Offensive Pass Interference,3.0
KC,2020,Offside on Free Kick,2.0
KC,2020,Roughing the Passer,6.0
KC,2020,Unnecessary Roughness,6.0
KC,2020,Unsportsmanlike Conduct,4.0
KC,2021,Defensive Holding,4.0
KC,2021,Defensive Offside,9.0
KC,2021,Defensive Pass Interference,13.0
KC,2021,Delay of Game,1.0
KC,2021,Encroachment,2.0
KC,2021,Face Mask,3.0
KC,2021,False Start,19.0
KC,2021,Horse Collar Tackle,1.0
KC,2021,Illegal Blindside Block,1.0
KC,2021,Illegal Contact,2.0
KC,2021,Illegal Double-Team Block,1.0
KC,2021,Illegal Formation,4.0
KC,2021,Illegal Forward Pass,1.0
KC,2021,Illegal Use of Hands,4.0
KC,2021,Ineligible Downfield Pass,2.0
KC,2021,Intentional Grounding,2.0
KC,2021,Low Block,1.0
KC,2021,Lowering the Head to Initiate Contact,1.0
KC,2021,Neutral Zone Infraction,3.0
KC,2021,Offensive Holding,29.0
KC,2021,Offensive Pass Interference,4.0
KC,2021,Roughing the Kicker,1.0
KC,2021,Roughing the Passer,4.0
KC,2021,Taunting,2.0
KC,2021,Unnecessary Roughness,2.0
KC,2022,Defensive Holding,4.0
KC,2022,Defensive Offside,5.0
KC,2022,Defensive Pass Interference,15.0
KC,2022,Defensive Too Many Men on Field,1.0
KC,2022,Delay of Game,3.0
KC,2022,Delay of Kickoff,1.0
KC,2022,Face Mask,2.0
KC,2022,False Start,8.0
KC,2022,Illegal Blindside Block,1.0
KC,2022,Illegal Block Above the Waist,1.0
KC,2022,Illegal Contact,1.0
KC,2022,Illegal Crackback,1.0
KC,2022,Illegal Formation,2.0
KC,2022,Illegal Motion,1.0
KC,2022,Illegal Use of Hands,3.0
KC,2022,Ineligible Downfield Pass,5.0
KC,2022,Low Block,1.0
KC,2022,Neutral Zone Infraction,2.0
KC,2022,Offensive Holding,24.0
KC,2022,Offensive Pass Interference,2.0
KC,2022,Player Out of Bounds on Kick,1.0
KC,2022,Roughing the Passer,3.0
KC,2022,Taunting,3.0
KC,2022,Unnecessary Roughness,6.0
KC,2022,Unsportsmanlike Conduct,1.0
KC,2023,Defensive Holding,5.0
KC,2023,Defensive Offside,3.0
KC,2023,Defensive Pass Interference,11.0
KC,2023,Defensive Too Many Men on Field,2.0
KC,2023,Delay of Game,2.0
KC,2023,Disqualification,1.0
KC,2023,Face Mask,1.0
KC,2023,Fair Catch Interference,1.0
KC,2023,False Start,20.0
KC,2023,Horse Collar Tackle,2.0
KC,2023,Illegal Blindside Block,1.0
KC,2023,Illegal Block Above the Waist,4.0
KC,2023,Illegal Contact,2.0
KC,2023,Illegal Crackback,1.0
KC,2023,Illegal Formation,2.0
KC,2023,Illegal Shift,1.0
KC,2023,Illegal Use of Hands,3.0
KC,2023,Intentional Grounding,4.0
KC,2023,Neutral Zone Infraction,4.0
KC,2023,Offensive Holding,30.0
KC,2023,Offensive Offside,1.0
KC,2023,Offensive Pass Interference,4.0
KC,2023,Offensive Too Many Men on Field,1.0
KC,2023,Roughing the Passer,1.0
KC,2023,Taunting,1.0
KC,2023,Unnecessary Roughness,3.0
KC,2023,Unsportsmanlike Conduct,1.0
KC,2024,Defensive Holding,6.0
KC,2024,Defensive Offside,5.0
KC,2024,Defensive Pass Interference,10.0
KC,2024,Defensive Too Many Men on Field,2.0
KC,2024,Delay of Game,1.0
KC,2024,Face Mask,2.0
KC,2024,False Start,19.0
KC,2024,Horse Collar Tackle,2.0
KC,2024,Illegal Block Above the Waist,3.0
KC,2024,Illegal Contact,1.0
KC,2024,Illegal Formation,2.0
KC,2024,Illegal Use of Hands,3.0
KC,2024,Kickoff Short of Landing Zone,1.0
KC,2024,Neutral Zone Infraction,4.0
KC,2024,Offensive Holding,33.0
KC,2024,Offensive Offside,1.0
KC,2024,Offensive Pass Interference,1.0
KC,2024,Player Out of Bounds on Kick,2.0
KC,2024,Roughing the Passer,1.0
KC,2024,Taunting,1.0
KC,2024,Unnecessary Roughness,8.0
KC,2024,Unsportsmanlike Conduct,2.0
KC,2025,Defensive Holding,9.0
KC,2025,Defensive Offside,7.0
KC,2025,Defensive Pass Interference,8.0
KC,2025,Delay of Game,4.0
KC,2025,Face Mask,4.0
KC,2025,False Start,19.0
KC,2025,Illegal Blindside Block,2.0
KC,2025,Illegal Block Above the Waist,4.0
KC,2025,Illegal Contact,3.0
KC,2025,Illegal Double-Team Block,1.0
KC,2025,Illegal Formation,4.0
KC,2025,Illegal Forward Pass,1.0
KC,2025,Illegal Shift,1.0
KC,2025,Illegal Use of Hands,2.0
KC,2025,Ineligible Downfield Pass,1.0
KC,2025,Intentional Grounding,2.0
KC,2025,Kick Catch Interference,1.0
KC,2025,Kickoff Out of Bounds,1.0
KC,2025,Kickoff Short of Landing Zone,1.0
KC,2025,Neutral Zone Infraction,2.0
KC,2025,Offensive Holding,29.0
KC,2025,Offensive Pass Interference,2.0
KC,2025,Roughing the Passer,3.0
KC,2025,Taunting,1.0
KC,2025,Unnecessary Roughness,4.0
KC,2025,Unsportsmanlike Conduct,3.0
LA,2016,Defensive Holding,6.0
LA,2016,Defensive Offside,5.0
LA,2016,Defensive Pass Interference,9.0
LA,2016,Delay of Game,7.0
LA,2016,Disqualification,1.0
LA,2016,Encroachment,2.0
LA,2016,Face Mask,2.0
LA,2016,False Start,25.0
LA,2016,Horse Collar Tackle,3.0
LA,2016,Illegal Block Above the Waist,6.0
LA,2016,Illegal Contact,2.0
LA,2016,Illegal Formation,2.0
LA,2016,Illegal Motion,1.0
LA,2016,Illegal Use of Hands,2.0
LA,2016,Ineligible Downfield Pass,3.0
LA,2016,Leaping,1.0
LA,2016,Neutral Zone Infraction,3.0
LA,2016,Offensive 12 On-field,1.0
LA,2016,Offensive Holding,23.0
LA,2016,Offensive Pass Interference,2.0
LA,2016,Offside on Free Kick,1.0
LA,2016,Roughing the Kicker,1.0
LA,2016,Roughing the Passer,5.0
LA,2016,Taunting,1.0
LA,2016,Unnecessary Roughness,9.0
LA,2016,Unsportsmanlike Conduct,1.0
LA,2017,Chop Block,1.0
LA,2017,Defensive 12 On-field,1.0
LA,2017,Defensive Holding,12.0
LA,2017,Defensive Offside,7.0
LA,2017,Defensive Pass Interference,6.0
LA,2017,Delay of Game,3.0
LA,2017,Face Mask,5.0
LA,2017,False Start,22.0
LA,2017,Illegal Block Above the Waist,10.0
LA,2017,Illegal Formation,2.0
LA,2017,Illegal Shift,1.0
LA,2017,Intentional Grounding,2.0
LA,2017,Leverage,1.0
LA,2017,Offensive 12 On-field,1.0
LA,2017,Offensive Holding,18.0
LA,2017,Offensive Pass Interference,3.0
LA,2017,Offside on Free Kick,1.0
LA,2017,Roughing the Passer,3.0
LA,2017,Running Into the Kicker,1.0
LA,2017,Unnecessary Roughness,9.0
LA,2017,Unsportsmanlike Conduct,3.0
LA,2018,Chop Block,1.0
LA,2018,Defensive Holding,7.0
LA,2018,Defensive Offside,2.0
LA,2018,Defensive Pass Interference,9.0
LA,2018,Defensive Too Many Men on Field,1.0
LA,2018,Delay of Game,6.0
LA,2018,Encroachment,2.0
LA,2018,Face Mask,4.0
LA,2018,False Start,15.0
LA,2018,Horse Collar Tackle,1.0
LA,2018,Illegal Block Above the Waist,8.0
LA,2018,Illegal Contact,1.0
LA,2018,Illegal Formation,2.0
LA,2018,Illegal Shift,4.0
LA,2018,Illegal Use of Hands,4.0
LA,2018,Ineligible Downfield Kick,1.0
LA,2018,Intentional Grounding,1.0
LA,2018,Lowering the Head to Initiate Contact,2.0
LA,2018,Neutral Zone Infraction,5.0
LA,2018,Offensive Holding,21.0
LA,2018,Offensive Pass Interference,2.0
LA,2018,Roughing the Passer,6.0
LA,2018,Unnecessary Roughness,10.0
LA,2018,Unsportsmanlike Conduct,1.0
LA,2019,Defensive Holding,7.0
LA,2019,Defensive Offside,5.0
LA,2019,Defensive Pass Interference,4.0
LA,2019,Defensive Too Many Men on Field,3.0
LA,2019,Delay of Game,6.0
LA,2019,Encroachment,1.0
LA,2019,Face Mask,1.0
LA,2019,False Start,24.0
LA,2019,Illegal Block Above the Waist,5.0
LA,2019,Illegal Contact,3.0
LA,2019,Illegal Formation,1.0
LA,2019,Illegal Motion,1.0
LA,2019,Illegal Shift,5.0
LA,2019,Illegal Touch Kick,1.0
LA,2019,Illegal Use of Hands,4.0
LA,2019,Ineligible Downfield Pass,1.0
LA,2019,Intentional Grounding,2.0
LA,2019,Lowering the Head to Initiate Contact,1.0
LA,2019,Neutral Zone Infraction,2.0
LA,2019,Offensive Holding,25.0
LA,2019,Offensive Pass Interference,1.0
LA,2019,Offside on Free Kick,1.0
LA,2019,Roughing the Passer,6.0
LA,2019,Taunting,1.0
LA,2019,Unnecessary Roughness,6.0
LA,2019,Unsportsmanlike Conduct,1.0
LA,2020,Defensive Offside,2.0
LA,2020,Defensive Pass Interference,10.0
LA,2020,Delay of Game,5.0
LA,2020,Face Mask,2.0
LA,2020,False Start,17.0
LA,2020,Illegal Block Above the Waist,4.0
LA,2020,Illegal Contact,1.0
LA,2020,Illegal Double-Team Block,1.0
LA,2020,Illegal Formation,1.0
LA,2020,Ineligible Downfield Pass,1.0
LA,2020,Intentional Grounding,3.0
LA,2020,Lowering the Head to Initiate Contact,1.0
LA,2020,Neutral Zone Infraction,2.0
LA,2020,Offensive Holding,16.0
LA,2020,Offensive Offside,2.0
LA,2020,Offensive Pass Interference,2.0
LA,2020,Roughing the Passer,1.0
LA,2020,Unnecessary Roughness,3.0
LA,2020,Unsportsmanlike Conduct,2.0
LA,2021,Defensive Holding,5.0
LA,2021,Defensive Offside,9.0
LA,2021,Defensive Pass Interference,4.0
LA,2021,Delay of Game,10.0
LA,2021,Face Mask,2.0
LA,2021,Fair Catch Interference,1.0
LA,2021,False Start,11.0
LA,2021,Illegal Block Above the Waist,2.0
LA,2021,Illegal Contact,1.0
LA,2021,Illegal Formation,1.0
LA,2021,Illegal Forward Pass,1.0
LA,2021,Illegal Touch Pass,1.0
LA,2021,Illegal Use of Hands,2.0
LA,2021,Ineligible Downfield Pass,1.0
LA,2021,Low Block,1.0
LA,2021,Lowering the Head to Initiate Contact,1.0
LA,2021,Neutral Zone Infraction,4.0
LA,2021,Offensive Holding,18.0
LA,2021,Offensive Pass Interference,2.0
LA,2021,Offside on Free Kick,1.0
LA,2021,Roughing the Passer,5.0
LA,2021,Taunting,2.0
LA,2021,Unnecessary Roughness,5.0
LA,2022,Chop Block,1.0
LA,2022,Defensive Holding,4.0
LA,2022,Defensive Offside,1.0
LA,2022,Defensive Pass Interference,7.0
LA,2022,Defensive Too Many Men on Field,1.0
LA,2022,Delay of Game,5.0
LA,2022,Face Mask,3.0
LA,2022,False Start,17.0
LA,2022,Horse Collar Tackle,1.0
LA,2022,Illegal Block Above the Waist,1.0
LA,2022,Illegal Contact,2.0
LA,2022,Illegal Use of Hands,3.0
LA,2022,Intentional Grounding,2.0
LA,2022,Offensive Holding,15.0
LA,2022,Player Out of Bounds on Kick,1.0
LA,2022,Running Into the Kicker,1.0
LA,2022,Taunting,1.0
LA,2022,Unnecessary Roughness,10.0
LA,2023,Defensive Holding,5.0
LA,2023,Defensive Pass Interference,10.0
LA,2023,Defensive Too Many Men on Field,1.0
LA,2023,Delay of Game,7.0
LA,2023,Encroachment,2.0
LA,2023,Face Mask,5.0
LA,2023,False Start,12.0
LA,2023,Horse Collar Tackle,1.0
LA,2023,Illegal Blindside Block,1.0
LA,2023,Illegal Block Above the Waist,2.0
LA,2023,Illegal Contact,2.0
LA,2023,Illegal Formation,1.0
LA,2023,Illegal Shift,1.0
LA,2023,Illegal Use of Hands,3.0
LA,2023,Ineligible Downfield Pass,1.0
LA,2023,Intentional Grounding,3.0
LA,2023,Kick Catch Interference,1.0
LA,2023,Leaping,1.0
LA,2023,Low Block,1.0
LA,2023,Neutral Zone Infraction,2.0
LA,2023,Offensive Holding,19.0
LA,2023,Offensive Pass Interference,4.0
LA,2023,Offside on Free Kick,1.0
LA,2023,Roughing the Passer,2.0
LA,2023,Unnecessary Roughness,4.0
LA,2023,Unsportsmanlike Conduct,1.0
LA,2024,Defensive Holding,7.0
LA,2024,Defensive Offside,5.0
LA,2024,Defensive Pass Interference,7.0
LA,2024,Defensive Too Many Men on Field,2.0
LA,2024,Delay of Game,2.0
LA,2024,Disqualification,1.0
LA,2024,Encroachment,1.0
LA,2024,Face Mask,3.0
LA,2024,False Start,20.0
LA,2024,Horse Collar Tackle,2.0
LA,2024,Illegal Blindside Block,1.0
LA,2024,Illegal Block Above the Waist,3.0
LA,2024,Illegal Contact,1.0
LA,2024,Illegal Formation,4.0
LA,2024,Illegal Motion,2.0
LA,2024,Illegal Use of Hands,2.0
LA,2024,Intentional Grounding,1.0
LA,2024,Kick Catch Interference,1.0
LA,2024,Low Block,1.0
LA,2024,Neutral Zone Infraction,2.0
LA,2024,Offensive Holding,23.0
LA,2024,Offensive Pass Interference,2.0
LA,2024,Player Out of Bounds on Kick,1.0
LA,2024,Roughing the Kicker,2.0
LA,2024,Roughing the Passer,1.0
LA,2024,Taunting,1.0
LA,2024,Unnecessary Roughness,6.0
LA,2025,Defensive Holding,5.0
LA,2025,Defensive Offside,2.0
LA,2025,Defensive Pass Interference,10.0
LA,2025,Delay of Game,6.0
LA,2025,Encroachment,1.0
LA,2025,Face Mask,2.0
LA,2025,False Start,13.0
LA,2025,Illegal Block Above the Waist,3.0
LA,2025,Illegal Contact,2.0
LA,2025,Illegal Formation,1.0
LA,2025,Illegal Shift,2.0
LA,2025,Illegal Use of Hands,2.0
LA,2025,Ineligible Downfield Kick,1.0
LA,2025,Ineligible Downfield Pass,2.0
LA,2025,Intentional Grounding,1.0
LA,2025,Kickoff Short of Landing Zone,1.0
LA,2025,Neutral Zone Infraction,5.0
LA,2025,Offensive Holding,19.0
LA,2025,Offensive Offside,1.0
LA,2025,Roughing the Passer,5.0
LA,2025,Taunting,2.0
LA,2025,Unnecessary Roughness,3.0
LAC,2016,Defensive 12 On-field,1.0
LAC,2016,Defensive Holding,7.0
LAC,2016,Defensive Offside,3.0
LAC,2016,Defensive Pass Interference,8.0
LAC,2016,Delay of Game,6.0
LAC,2016,Encroachment,1.0
LAC,2016,Face Mask,2.0
LAC,2016,False Start,19.0
LAC,2016,Illegal Contact,1.0
LAC,2016,Illegal Crackback,1.0
LAC,2016,Illegal Formation,2.0
LAC,2016,Illegal Shift,2.0
LAC,2016,Illegal Substitution,2.0
LAC,2016,Illegal Touch Pass,1.0
LAC,2016,Illegal Use of Hands,2.0
LAC,2016,Intentional Grounding,2.0
LAC,2016,Leverage,1.0
LAC,2016,Neutral Zone Infraction,11.0
LAC,2016,Offensive Holding,18.0
LAC,2016,Offensive Pass Interference,2.0
LAC,2016,Offside on Free Kick,2.0
LAC,2016,Roughing the Passer,3.0
LAC,2016,Unnecessary Roughness,6.0
LAC,2016,Unsportsmanlike Conduct,4.0
LAC,2017,Defensive 12 On-field,2.0
LAC,2017,Defensive Delay of Game,1.0
LAC,2017,Defensive Holding,1.0
LAC,2017,Defensive Offside,7.0
LAC,2017,Defensive Pass Interference,7.0
LAC,2017,Delay of Game,12.0
LAC,2017,Face Mask,2.0
LAC,2017,False Start,17.0
LAC,2017,Horse Collar Tackle,1.0
LAC,2017,Illegal Block Above the Waist,7.0
LAC,2017,Illegal Touch Pass,1.0
LAC,2017,Illegal Use of Hands,7.0
LAC,2017,Intentional Grounding,4.0
LAC,2017,Neutral Zone Infraction,5.0
LAC,2017,Offensive Holding,14.0
LAC,2017,Offensive Pass Interference,2.0
LAC,2017,Offside on Free Kick,2.0
LAC,2017,Player Out of Bounds on Punt,1.0
LAC,2017,Roughing the Kicker,1.0
LAC,2017,Roughing the Passer,5.0
LAC,2017,Taunting,1.0
LAC,2017,Unnecessary Roughness,8.0
LAC,2018,Defensive Holding,7.0
LAC,2018,Defensive Offside,7.0
LAC,2018,Defensive Pass Interference,7.0
LAC,2018,Delay of Game,8.0
LAC,2018,Encroachment,4.0
LAC,2018,Face Mask,3.0
LAC,2018,False Start,12.0
LAC,2018,Horse Collar Tackle,1.0
LAC,2018,Illegal Block Above the Waist,8.0
LAC,2018,Illegal Contact,2.0
LAC,2018,Illegal Formation,2.0
LAC,2018,Illegal Shift,2.0
LAC,2018,Illegal Use of Hands,3.0
LAC,2018,Neutral Zone Infraction,7.0
LAC,2018,Offensive Holding,29.0
LAC,2018,Offensive Pass Interference,1.0
LAC,2018,Player Out of Bounds on Kick,1.0
LAC,2018,Roughing the Passer,4.0
LAC,2018,Taunting,2.0
LAC,2018,Tripping,2.0
LAC,2018,Unnecessary Roughness,9.0
LAC,2018,Unsportsmanlike Conduct,2.0
LAC,2019,Defensive Holding,5.0
LAC,2019,Defensive Offside,8.0
LAC,2019,Defensive Pass Interference,9.0
LAC,2019,Delay of Game,3.0
LAC,2019,Face Mask,3.0
LAC,2019,False Start,17.0
LAC,2019,Horse Collar Tackle,1.0
LAC,2019,Illegal Blindside Block,1.0
LAC,2019,Illegal Block Above the Waist,4.0
LAC,2019,Illegal Contact,1.0
LAC,2019,Illegal Formation,3.0
LAC,2019,Illegal Shift,2.0
LAC,2019,Illegal Touch Kick,1.0
LAC,2019,Illegal Use of Hands,4.0
LAC,2019,Ineligible Downfield Kick,1.0
LAC,2019,Ineligible Downfield Pass,1.0
LAC,2019,Intentional Grounding,3.0
LAC,2019,Neutral Zone Infraction,2.0
LAC,2019,Offensive Holding,23.0
LAC,2019,Offensive Pass Interference,2.0
LAC,2019,Roughing the Kicker,1.0
LAC,2019,Roughing the Passer,2.0
LAC,2019,Unnecessary Roughness,4.0
LAC,2019,Unsportsmanlike Conduct,2.0
LAC,2020,Chop Block,1.0
LAC,2020,Defensive Holding,1.0
LAC,2020,Defensive Offside,7.0
LAC,2020,Defensive Pass Interference,6.0
LAC,2020,Defensive Too Many Men on Field,1.0
LAC,2020,Delay of Game,3.0
LAC,2020,Face Mask,3.0
LAC,2020,False Start,12.0
LAC,2020,Illegal Block Above the Waist,4.0
LAC,2020,Illegal Contact,2.0
LAC,2020,Illegal Crackback,1.0
LAC,2020,Illegal Formation,3.0
LAC,2020,Illegal Motion,1.0
LAC,2020,Illegal Shift,2.0
LAC,2020,Illegal Use of Hands,4.0
LAC,2020,Neutral Zone Infraction,5.0
LAC,2020,Offensive Holding,11.0
LAC,2020,Offensive Pass Interference,5.0
LAC,2020,Player Out of Bounds on Kick,1.0
LAC,2020,Roughing the Passer,5.0
LAC,2020,Unnecessary Roughness,7.0
LAC,2021,Defensive Holding,12.0
LAC,2021,Defensive Offside,6.0
LAC,2021,Defensive Pass Interference,11.0
LAC,2021,Defensive Too Many Men on Field,2.0
LAC,2021,Delay of Game,3.0
LAC,2021,Encroachment,1.0
LAC,2021,Face Mask,2.0
LAC,2021,False Start,17.0
LAC,2021,Horse Collar Tackle,2.0
LAC,2021,Illegal Block Above the Waist,2.0
LAC,2021,Illegal Formation,2.0
LAC,2021,Illegal Shift,4.0
LAC,2021,Illegal Use of Hands,3.0
LAC,2021,Ineligible Downfield Pass,4.0
LAC,2021,Neutral Zone Infraction,5.0
LAC,2021,Offensive Holding,22.0
LAC,2021,Offensive Pass Interference,4.0
LAC,2021,Roughing the Passer,8.0
LAC,2021,Taunting,2.0
LAC,2021,Unnecessary Roughness,3.0
LAC,2021,Unsportsmanlike Conduct,1.0
LAC,2022,Defensive Holding,4.0
LAC,2022,Defensive Offside,4.0
LAC,2022,Defensive Pass Interference,8.0
LAC,2022,Defensive Too Many Men on Field,1.0
LAC,2022,Delay of Game,3.0
LAC,2022,Disqualification,1.0
LAC,2022,Face Mask,5.0
LAC,2022,Fair Catch Interference,1.0
LAC,2022,False Start,24.0
LAC,2022,Illegal Block Above the Waist,2.0
LAC,2022,Illegal Contact,2.0
LAC,2022,Illegal Formation,1.0
LAC,2022,Illegal Use of Hands,1.0
LAC,2022,Ineligible Downfield Pass,3.0
LAC,2022,Neutral Zone Infraction,2.0
LAC,2022,Offensive Holding,19.0
LAC,2022,Offensive Pass Interference,1.0
LAC,2022,Roughing the Passer,4.0
LAC,2022,Unsportsmanlike Conduct,2.0
LAC,2023,Defensive Holding,2.0
LAC,2023,Defensive Offside,3.0
LAC,2023,Defensive Pass Interference,9.0
LAC,2023,Delay of Game,4.0
LAC,2023,Face Mask,4.0
LAC,2023,Fair Catch Interference,1.0
LAC,2023,False Start,11.0
LAC,2023,Illegal Contact,3.0
LAC,2023,Illegal Formation,1.0
LAC,2023,Illegal Forward Pass,1.0
LAC,2023,Illegal Shift,5.0
LAC,2023,Illegal Use of Hands,2.0
LAC,2023,Ineligible Downfield Pass,2.0
LAC,2023,Intentional Grounding,2.0
LAC,2023,Neutral Zone Infraction,2.0
LAC,2023,Offensive Holding,14.0
LAC,2023,Offensive Pass Interference,2.0
LAC,2023,Roughing the Passer,4.0
LAC,2023,Unnecessary Roughness,7.0
LAC,2024,Chop Block,1.0
LAC,2024,Defensive Delay of Game,1.0
LAC,2024,Defensive Holding,10.0
LAC,2024,Defensive Offside,9.0
LAC,2024,Defensive Pass Interference,7.0
LAC,2024,Delay of Game,5.0
LAC,2024,Face Mask,1.0
LAC,2024,False Start,16.0
LAC,2024,Horse Collar Tackle,1.0
LAC,2024,Illegal Block Above the Waist,2.0
LAC,2024,Illegal Contact,1.0
LAC,2024,Illegal Formation,5.0
LAC,2024,Illegal Use of Hands,1.0
LAC,2024,Ineligible Downfield Pass,1.0
LAC,2024,Kick Catch Interference,1.0
LAC,2024,Kickoff Short of Landing Zone,2.0
LAC,2024,Neutral Zone Infraction,3.0
LAC,2024,Offensive Holding,19.0
LAC,2024,Offensive Pass Interference,1.0
LAC,2024,Player Out of Bounds on Kick,1.0
LAC,2024,Roughing the Passer,4.0
LAC,2024,Unnecessary Roughness,6.0
LAC,2025,Defensive Holding,1.0
LAC,2025,Defensive Offside,6.0
LAC,2025,Defensive Pass Interference,8.0
LAC,2025,Defensive Too Many Men on Field,3.0
LAC,2025,Delay of Game,4.0
LAC,2025,Disqualification,1.0
LAC,2025,Encroachment,1.0
LAC,2025,Face Mask,2.0
LAC,2025,False Start,30.0
LAC,2025,Illegal Bat,1.0
LAC,2025,Illegal Block Above the Waist,2.0
LAC,2025,Illegal Contact,4.0
LAC,2025,Illegal Formation,5.0
LAC,2025,Illegal Use of Hands,1.0
LAC,2025,Ineligible Downfield Pass,2.0
LAC,2025,Intentional Grounding,2.0
LAC,2025,Kickoff Out of Bounds,2.0
LAC,2025,Kickoff Short of Landing Zone,1.0
LAC,2025,Low Block,2.0
LAC,2025,Neutral Zone Infraction,2.0
LAC,2025,Offensive Holding,16.0
LAC,2025,Offensive Offside,1.0
LAC,2025,Roughing the Kicker,1.0
LAC,2025,Roughing the Passer,2.0
LAC,2025,Unnecessary Roughness,7.0
LAC,2025,Unsportsmanlike Conduct,1.0
LV,2016,Defensive 12 On-field,2.0
LV,2016,Defensive Holding,13.0
LV,2016,Defensive Offside,7.0
LV,2016,Defensive Pass Interference,15.0
LV,2016,Delay of Game,4.0
LV,2016,Encroachment,2.0
LV,2016,Face Mask,4.0
LV,2016,False Start,27.0
LV,2016,Horse Collar Tackle,1.0
LV,2016,Illegal Block Above the Waist,4.0
LV,2016,Illegal Crackback,1.0
LV,2016,Illegal Formation,5.0
LV,2016,Illegal Shift,1.0
LV,2016,Illegal Touch Pass,1.0
LV,2016,Illegal Use of Hands,3.0
LV,2016,Ineligible Downfield Kick,1.0
LV,2016,Ineligible Downfield Pass,1.0
LV,2016,Intentional Grounding,2.0
LV,2016,Neutral Zone Infraction,3.0
LV,2016,Offensive Holding,33.0
LV,2016,Offensive Pass Interference,5.0
LV,2016,Player Out of Bounds on Punt,2.0
LV,2016,Roughing the Kicker,1.0
LV,2016,Roughing the Passer,1.0
LV,2016,Taunting,2.0
LV,2016,Unnecessary Roughness,11.0
LV,2016,Unsportsmanlike Conduct,3.0
LV,2017,Clipping,1.0
LV,2017,Defensive Holding,5.0
LV,2017,Defensive Offside,5.0
LV,2017,Defensive Pass Interference,6.0
LV,2017,Delay of Game,2.0
LV,2017,Disqualification,1.0
LV,2017,Encroachment,3.0
LV,2017,False Start,19.0
LV,2017,Illegal Block Above the Waist,7.0
LV,2017,Illegal Formation,1.0
LV,2017,Illegal Motion,2.0
LV,2017,Illegal Shift,1.0
LV,2017,Illegal Use of Hands,2.0
LV,2017,Ineligible Downfield Pass,1.0
LV,2017,Neutral Zone Infraction,3.0
LV,2017,Offensive Holding,28.0
LV,2017,Offensive Pass Interference,6.0
LV,2017,Offside on Free Kick,2.0
LV,2017,Player Out of Bounds on Punt,1.0
LV,2017,Roughing the Passer,3.0
LV,2017,Taunting,1.0
LV,2017,Unnecessary Roughness,10.0
LV,2017,Unsportsmanlike Conduct,4.0
LV,2018,Defensive Holding,8.0
LV,2018,Defensive Offside,4.0
LV,2018,Defensive Pass Interference,5.0
LV,2018,Defensive Too Many Men on Field,2.0
LV,2018,Delay of Game,3.0
LV,2018,Encroachment,2.0
LV,2018,Face Mask,4.0
LV,2018,Fair Catch Interference,2.0
LV,2018,False Start,23.0
LV,2018,Horse Collar Tackle,1.0
LV,2018,Illegal Block Above the Waist,5.0
LV,2018,Illegal Contact,1.0
LV,2018,Illegal Formation,4.0
LV,2018,Illegal Shift,2.0
LV,2018,Illegal Touch Kick,1.0
LV,2018,Illegal Use of Hands,2.0
LV,2018,Neutral Zone Infraction,5.0
LV,2018,Offensive Holding,20.0
LV,2018,Offensive Pass Interference,4.0
LV,2018,Roughing the Passer,3.0
LV,2018,Taunting,1.0
LV,2018,Unnecessary Roughness,7.0
LV,2018,Unsportsmanlike Conduct,1.0
LV,2019,Chop Block,1.0
LV,2019,Defensive Delay of Game,1.0
LV,2019,Defensive Holding,10.0
LV,2019,Defensive Offside,11.0
